Name,DG_Year,DG_Amount,Publications_6Yrs,Citations_6Yrs
"Aafer, Yousra",2023,24000.0,22,2368
"Aafer, Yousra",2020,24000.0,18,2312
"Aafer, Yousra",2022,24000.0,25,2443
"Aafer, Yousra",2021,24000.0,21,2380
"Abdalkareem, Rabe",2022,29000.0,22,806
"Abdellatif, Manel",2023,36000.0,24,245
"Abdelrahman, Tarek",2010,31000.0,23,413
"Abdelrahman, Tarek",2011,31000.0,16,308
"Abdelrahman, Tarek",2008,44000.0,24,234
"Abdelrahman, Tarek",2009,44000.0,19,218
"Abdelrahman, Tarek",2014,31000.0,22,671
"Abdelrahman, Tarek",2012,31000.0,18,549
"Abdelrahman, Tarek",2013,31000.0,22,582
"Abdelrahman, Tarek",2015,24000.0,27,721
"Abdelrahman, Tarek",2016,24000.0,24,569
"Abdelrahman, Tarek",2017,24000.0,23,555
"Abdelrahman, Tarek",2018,24000.0,23,323
"Abdelrahman, Tarek",2019,24000.0,19,284
"Abdelrahman, Tarek",2023,24000.0,12,60
"Abdelrahman, Tarek",2022,24000.0,12,78
"Abran, Alain",2021,26000.0,128,2034
"Abran, Alain",2017,26000.0,164,2182
"Abran, Alain",2018,26000.0,161,2443
"Abran, Alain",2019,26000.0,152,2240
"Abran, Alain",2020,26000.0,136,2153
"Abran, Alain",2016,26000.0,195,2014
"Adams, Bram",2017,32000.0,114,6285
"Adams, Bram",2018,32000.0,112,5914
"Adams, Bram",2019,48000.0,105,5047
"Adams, Bram",2015,32000.0,96,5599
"Adams, Bram",2014,32000.0,82,4562
"Adams, Bram",2016,32000.0,109,6333
"Adams, Bram",2013,20000.0,71,3452
"Adams, Bram",2011,20000.0,50,1759
"Adams, Bram",2012,20000.0,63,2507
"Adams, Bram",2010,15000.0,30,637
"Adams, Bram",2021,48000.0,97,2991
"Adams, Bram",2023,48000.0,76,1114
"Adams, Bram",2022,48000.0,88,2091
"Adams, Bram",2020,48000.0,104,3957
"Adi, Kamel",2011,24000.0,26,141
"Adi, Kamel",2017,24000.0,18,306
"Adi, Kamel",2014,24000.0,30,344
"Adi, Kamel",2012,24000.0,28,204
"Adi, Kamel",2013,24000.0,29,287
"Ahmed, Maher",2012,14000.0,12,207
"Ahmed, Maher",2011,14000.0,11,211
"Ahmed, Maher",2008,17000.0,3,111
"Ahmed, Maher",2009,17000.0,5,159
"Ahmed, Maher",2014,14000.0,20,201
"Ahmed, Maher",2013,14000.0,15,175
"Ahmed, Maher",2015,14000.0,22,157
"Ajila, Samuel",2010,15000.0,15,300
"Ajila, Samuel",2011,15000.0,10,233
"Ajila, Samuel",2008,15000.0,17,262
"Ajila, Samuel",2009,15000.0,15,293
"Aksoy, Yagiz",2022,29000.0,12,662
"Aksoy, Yagiz",2023,29000.0,13,625
"Aksoy, Yagiz",2021,29000.0,10,481
"Aksoy, Yagiz",2020,29000.0,13,503
"Al Kiswany, Samer",2023,31000.0,16,167
"Alagar, Vangalur",2009,35000.0,29,254
"Alagar, Vangalur",2008,35000.0,29,207
"Alagar, Vangalur",2010,20000.0,25,238
"Alagar, Vangalur",2011,20000.0,23,217
"Alalfi, Manar",2021,23000.0,16,188
"Alalfi, Manar",2022,23000.0,15,172
"Alalfi, Manar",2023,23000.0,23,185
"Alalfi, Manar",2020,23000.0,16,203
"Alalfi, Manar",2019,23000.0,13,207
"Alalfi, Manar",2018,23000.0,18,383
"Alam, Omar",2021,20000.0,22,233
"Alam, Omar",2022,20000.0,24,258
"Alam, Omar",2023,20000.0,25,226
"Alam, Omar",2020,20000.0,19,157
"Alam, Omar",2019,20000.0,18,201
"Alam, Omar",2018,20000.0,21,253
"Alam, Omar",2017,20000.0,19,252
"Alameldeen, Alaa",2023,34000.0,15,418
"Alameldeen, Alaa",2021,34000.0,18,429
"Alameldeen, Alaa",2022,34000.0,19,445
"Alencar, Paulo",2017,18000.0,252,375
"Alencar, Paulo",2018,18000.0,297,400
"Alencar, Paulo",2019,18000.0,318,354
"Alencar, Paulo",2020,18000.0,324,389
"Alencar, Paulo",2016,18000.0,202,351
"Alencar, Paulo",2021,18000.0,318,381
"Alencar, Paulo",2008,36000.0,0,0
"Ali, Karim",2017,25000.0,53,620
"Ali, Karim",2018,25000.0,52,1293
"Ali, Karim",2019,25000.0,57,1390
"Ali, Karim",2020,25000.0,50,1438
